[ 2026-03-14 14:53:48,837 ] 19 root - INFO - Initiate the data ingestion
[ 2026-03-14 14:54:02,763 ] 71 root - INFO - Performed train test split on the dataframe
[ 2026-03-14 14:54:02,763 ] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-14 14:54:02,763 ] 81 root - INFO - Exporting train and test file path.
[ 2026-03-14 14:54:02,879 ] 90 root - INFO - Exported train and test file path.
[ 2026-03-14 14:54:02,879 ] 21 root - INFO - data initiation completed
[ 2026-03-14 14:54:02,896 ] 26 root - INFO - initiate the data validation
[ 2026-03-14 14:54:02,995 ] 34 root - INFO - required number of columns:2
[ 2026-03-14 14:54:02,995 ] 35 root - INFO - data frame columns:31
[ 2026-03-14 14:54:03,000 ] 34 root - INFO - required number of columns:2
[ 2026-03-14 14:54:03,000 ] 35 root - INFO - data frame columns:31
[ 2026-03-14 14:54:03,277 ] 28 root - INFO - data validation completed
[ 2026-03-14 14:54:03,279 ] 33 root - INFO - initiate the data transformation
[ 2026-03-14 14:54:03,279 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-14 14:54:03,279 ] 63 root - INFO - Starting data transformation
[ 2026-03-14 14:54:03,345 ] 44 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-14 14:54:03,345 ] 49 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-14 14:54:03,378 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-14 14:54:03,383 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-14 14:54:03,383 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-14 14:54:03,388 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-14 14:54:03,393 ] 35 root - INFO - data transformation completed
[ 2026-03-14 14:54:03,395 ] 39 root - INFO - Model Training sstared
[ 2026-03-14 14:58:13,112 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-14 14:58:13,112 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-14 14:58:13,112 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-14 14:58:13,112 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-14 14:58:13,112 ] 145 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_14_2026_14_53_44\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913341394598952, precision_score=0.9879493874271942, recall_score=0.99474216380182), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9742541888026155, precision_score=0.9651821862348178, recall_score=0.9834983498349835))
[ 2026-03-14 14:58:13,112 ] 44 root - INFO - Model Training artifact created
